word,syllable,start,end,syl,f0_freq,pitch,midi
should,SHUH1D,11.54,12.5,should,241.372,B3,59
old,OW1LD,12.5,13.42,old,312.178,D#4,63
acquaintance,AH0K,13.42,13.76,ac,287.559,D4,62
acquaintance,WEY1N,13.76,14.32,quain,312.441,D#4,63
acquaintance,TAH0NS,14.32,15.1,tance,357.778,F4,65
be,BIY1,15.1,16.05,be,331.08,E4,64
forgot,FAO0R,16.05,16.36,for,308.506,D#4,63
forgot,GAA1T,16.36,16.76,got,311.867,D#4,63
and,AE1ND,17.12,17.73,and,384.53,G4,67
never,NEH1,17.73,18.65,nev,305.546,D#4,63
never,VER0,18.65,19.03,er,312.023,D#4,63
brought,BRAA1T,19.03,19.76,brought,380.23,F#4,66
to,TUW1,19.76,21.01,to,467.9015,A#4,70
mind,MAY1ND,21.9,22.0,mind,517.079,C5,72
should,SHUH1,22.46,24.29,should,468.31050000000005,A#4,70
old,OW1LD,24.29,24.38,old,394.196,G4,67
acquaintance,AH0K,24.38,24.57,ac,392.02,G4,67
acquaintance,WEY1N,24.57,25.22,quain,354.78,F4,65
acquaintance,TAH0NS,25.22,25.96,tance,312.3,D#4,63
be,BIY1,25.96,26.85,be,350.054,F4,65
forgot,FER0,26.85,26.95,for,347.831,F4,65
forgot,GAA1T,26.95,27.29,got,312.907,D#4,63
and,AH0ND,27.29,27.38,and,308.539,D#4,63
auld,AA1LD,27.38,27.47,auld,311.602,D#4,63
lang,LAE1NG,27.47,27.58,lang,361.122,F#4,66
syne,SAY1N,27.58,27.69,syne,319.659,D#4,63
for,FRER0,27.99,28.08,for,384.714,G4,67
auld,AA1LD,28.08,28.21,auld,380.876,G4,67
lang,LAE1NG,28.21,28.54,lang,346.643,F4,65
syne,SAY1N,28.54,28.63,syne,347.992,F4,65
my,MAY1,28.63,28.69,my,331.067,E4,64
dear,DIH1R,28.69,28.8,dear,302.137,D4,62
for,FER0,28.8,28.87,for,311.155,D#4,63
auld,AA1LD,28.87,28.97,auld,308.086,D#4,63
lang,LAE1NG,28.97,29.06,lang,308.864,D#4,63
syne,SAY1N,29.06,29.15,syne,312.16,D#4,63
we'll,WIH1L,29.15,29.25,we'll,309.511,D#4,63
take,TEY1K,29.25,29.34,take,316.027,D#4,63
a,AH0,29.34,29.37,a,311.813,D#4,63
cup,KAH1P,29.37,29.46,cup,323.069,E4,64
of,AH0V,29.46,29.52,of,312.598,D#4,63
kindness,KAY1N,29.52,29.69,kind,323.334,E4,64
kindness,DNAH0S,29.69,31.46,ness,245.018,B3,59
yet,YEH1T,31.46,31.63,yet,274.434,C#4,61
for,FER0,31.63,31.69,for,284.483,C#4,61
auld,AA1LD,31.69,31.78,auld,323.861,E4,64
lang,LAE1NG,31.78,31.87,lang,324.116,E4,64
syne,SAY1N,31.87,32.0,syne,315.277,D#4,63
and,AH0ND,32.0,32.92,and,308.4,D#4,63
surely,SHUH1R,33.44,35.42,sure,467.96500000000003,A#4,70
surely,LIY0,35.42,35.48,ly,385.104,G4,67
you'll,YUW1L,35.48,35.57,you'll,350.492,F4,65
buy,BAY1,35.57,35.72,buy,357.737,F4,65
your,YUH1R,35.72,35.81,your,366.658,F#4,66
pint,PAY1NT,35.81,36.01,pint,379.181,F#4,66
cup,KAH1P,36.01,36.12,cup,392.302,G4,67
and,AE1ND,36.12,36.75,and,308.487,D#4,63
surely,SHUH1R,36.75,36.93,sure,308.543,D#4,63
surely,LIY0,36.93,36.99,ly,309.13,D#4,63
i'll,AY1L,36.99,37.22,i'll,311.512,D#4,63
buy,BAY1,37.22,37.28,buy,351.513,F4,65
mine,MAY1N,37.28,37.88,mine,354.591,F4,65
and,AE1ND,37.88,38.18,and,311.82,D#4,63
we'll,WIY1L,38.18,38.48,we'll,357.739,F4,65
