time,frequency,confidence
0.000,587.835,0.030314
0.010,588.047,0.294096
0.020,594.467,0.159650
0.030,614.247,0.435437
0.040,43.211,0.126975
0.050,43.963,0.032894
0.060,44.595,0.051800
0.070,43.920,0.593727
0.080,43.631,0.920819
0.090,43.549,0.926135
0.100,43.384,0.902076
0.110,43.259,0.882882
0.120,43.216,0.880626
0.130,43.138,0.863146
0.140,43.185,0.888468
0.150,43.296,0.848232
0.160,43.406,0.888924
0.170,43.386,0.891508
0.180,43.345,0.878359
0.190,43.385,0.891935
0.200,43.269,0.881403
0.210,43.334,0.914864
0.220,43.314,0.870679
0.230,43.363,0.893041
0.240,43.354,0.900667
0.250,43.279,0.886729
0.260,43.296,0.885488
0.270,43.321,0.865585
0.280,43.419,0.907569
0.290,43.445,0.866131
0.300,43.370,0.889298
0.310,43.343,0.893323
0.320,43.334,0.904647
0.330,43.369,0.896955
0.340,43.381,0.884796
0.350,43.387,0.905214
0.360,43.434,0.866966
0.370,43.310,0.897061
0.380,43.320,0.857725
0.390,43.360,0.881621
0.400,43.488,0.889958
0.410,43.395,0.875511
0.420,43.312,0.905366
0.430,43.385,0.892999
0.440,43.277,0.877886
0.450,43.380,0.827433
0.460,43.342,0.866548
0.470,43.379,0.869129
0.480,43.373,0.859403
0.490,43.405,0.906741
0.500,43.517,0.889400
0.510,43.450,0.880989
0.520,43.451,0.871354
0.530,43.387,0.898334
0.540,43.368,0.887148
0.550,43.353,0.884361
0.560,43.342,0.895184
0.570,43.465,0.860999
0.580,43.353,0.886620
0.590,43.399,0.815514
0.600,43.314,0.867310
0.610,43.364,0.875503
0.620,43.305,0.877237
0.630,43.301,0.875456
0.640,43.379,0.830327
0.650,43.377,0.838880
0.660,43.585,0.800410
0.670,43.520,0.887035
0.680,43.421,0.882397
0.690,43.261,0.828827
0.700,42.820,0.349600
0.710,305.173,0.222207
0.720,627.931,0.200665
0.730,214.197,0.433450
0.740,215.114,0.234645
0.750,306.981,0.381879
0.760,311.340,0.673263
0.770,313.953,0.737168
0.780,316.314,0.818107
0.790,626.963,0.628556
0.800,622.124,0.628409
0.810,205.799,0.400536
0.820,207.784,0.564941
0.830,209.503,0.329945
0.840,211.701,0.260756
0.850,209.357,0.402163
0.860,206.142,0.494812
0.870,618.031,0.431736
0.880,618.302,0.692700
0.890,621.047,0.787144
0.900,625.131,0.871684
0.910,626.398,0.800380
0.920,625.419,0.731359
0.930,625.668,0.666292
0.940,625.887,0.768963
0.950,623.477,0.846753
0.960,625.008,0.784153
0.970,628.633,0.618303
0.980,633.161,0.554745
0.990,630.803,0.617741
1.000,624.184,0.792844
1.010,206.880,0.667903
1.020,209.251,0.563879
1.030,628.030,0.700183
1.040,625.782,0.774547
1.050,625.047,0.865773
1.060,623.014,0.883001
1.070,622.805,0.923327
1.080,622.775,0.930235
1.090,623.845,0.931170
1.100,624.354,0.930616
1.110,623.133,0.854383
1.120,621.946,0.812607
1.130,621.450,0.817308
1.140,623.256,0.906046
1.150,622.463,0.888496
1.160,621.985,0.871268
1.170,621.492,0.791352
1.180,622.763,0.809743
1.190,622.595,0.854885
1.200,622.951,0.903238
1.210,622.699,0.833885
1.220,623.571,0.760403
1.230,626.042,0.685640
1.240,625.452,0.787964
1.250,624.485,0.819783
1.260,311.389,0.622296
1.270,313.327,0.725132
1.280,315.122,0.685099
1.290,313.046,0.413916
1.300,311.458,0.531265
1.310,309.996,0.438688
1.320,310.886,0.685097
1.330,312.405,0.757683
1.340,310.911,0.773982
1.350,310.897,0.828080
1.360,310.852,0.845785
1.370,311.192,0.740262
1.380,624.719,0.841380
1.390,624.647,0.809861
1.400,623.105,0.645759
1.410,310.567,0.765646
1.420,310.991,0.838316
1.430,311.866,0.857395
1.440,625.603,0.655357
1.450,623.944,0.778361
1.460,617.999,0.641961
1.470,615.963,0.227366
1.480,160.286,0.308609
1.490,159.058,0.462671
1.500,157.450,0.490628
1.510,157.232,0.556275
1.520,156.418,0.658079
1.530,156.125,0.677331
1.540,155.679,0.708616
1.550,155.851,0.725987
1.560,156.365,0.613806
1.570,156.047,0.375692
1.580,785.457,0.728474
1.590,784.134,0.868115
1.600,786.945,0.874292
1.610,789.761,0.789688
1.620,809.076,0.403025
1.630,825.074,0.500626
1.640,156.596,0.373679
1.650,155.168,0.778840
1.660,155.229,0.824203
1.670,155.983,0.829304
1.680,156.573,0.664820
1.690,783.024,0.359171
1.700,785.064,0.552564
1.710,786.119,0.571561
1.720,786.956,0.612191
1.730,793.071,0.548292
1.740,816.508,0.433629
1.750,155.824,0.435632
1.760,155.004,0.742193
1.770,154.194,0.848126
1.780,153.872,0.776325
1.790,155.306,0.879038
1.800,155.829,0.882263
1.810,155.343,0.825738
1.820,155.392,0.834531
1.830,155.621,0.870801
1.840,156.240,0.767311
1.850,156.249,0.752479
1.860,156.229,0.620292
1.870,156.983,0.533774
1.880,316.912,0.760188
1.890,320.360,0.387096
1.900,325.094,0.126740
1.910,156.603,0.512183
1.920,156.127,0.546174
1.930,154.980,0.376589
1.940,38.676,0.222369
1.950,38.609,0.304193
1.960,118.189,0.165467
1.970,351.707,0.170805
1.980,117.708,0.337743
1.990,117.348,0.241369
2.000,624.382,0.179169
2.010,155.400,0.537035
2.020,156.310,0.554266
2.030,155.735,0.498043
2.040,623.547,0.342857
2.050,623.573,0.441356
2.060,622.302,0.132630
2.070,349.180,0.164492
2.080,346.227,0.266635
2.090,155.025,0.177311
2.100,115.658,0.161682
2.110,312.261,0.313418
2.120,313.533,0.401780
2.130,117.340,0.375205
2.140,314.822,0.376589
2.150,156.328,0.492113
2.160,155.558,0.635182
2.170,154.539,0.681636
2.180,153.579,0.691503
2.190,154.215,0.854895
2.200,154.928,0.807302
2.210,154.701,0.778436
2.220,154.435,0.565519
2.230,155.471,0.670113
2.240,155.431,0.563127
2.250,155.689,0.608309
2.260,155.839,0.693474
2.270,155.845,0.606433
2.280,155.584,0.649272
2.290,156.465,0.689386
2.300,157.485,0.685088
2.310,156.386,0.740807
2.320,155.882,0.729180
2.330,155.216,0.625817
2.340,154.448,0.637256
2.350,154.764,0.669778
2.360,155.447,0.784688
2.370,155.724,0.734053
2.380,156.548,0.571053
2.390,155.972,0.510332
2.400,155.311,0.453397
2.410,155.559,0.603468
2.420,155.747,0.659183
2.430,156.426,0.687407
2.440,156.107,0.594415
2.450,317.355,0.472196
2.460,316.617,0.448749
2.470,155.978,0.646677
2.480,310.559,0.382293
2.490,308.389,0.419782
2.500,153.951,0.739882
2.510,154.229,0.593986
2.520,155.110,0.421557
2.530,160.979,0.321305
2.540,164.443,0.351094
2.550,158.258,0.606407
2.560,154.764,0.758805
2.570,154.260,0.815730
2.580,155.129,0.847735
2.590,155.557,0.879093
2.600,155.304,0.774939
2.610,155.211,0.655238
2.620,156.355,0.420000
2.630,784.952,0.754297
2.640,786.769,0.839379
2.650,790.505,0.801217
2.660,799.151,0.657895
2.670,813.418,0.668573
2.680,811.271,0.468403
2.690,154.210,0.729568
2.700,154.177,0.828848
2.710,154.385,0.849383
2.720,155.256,0.854297
2.730,156.268,0.689997
2.740,156.367,0.531377
2.750,156.306,0.674995
2.760,155.714,0.350891
2.770,622.245,0.465927
2.780,622.252,0.522071
2.790,623.371,0.602561
2.800,312.152,0.469173
2.810,312.689,0.495256
2.820,154.599,0.295651
2.830,155.265,0.344779
2.840,154.039,0.285048
2.850,196.725,0.270456
2.860,154.621,0.358745
2.870,156.719,0.417460
2.880,157.928,0.576460
2.890,157.067,0.511915
2.900,158.037,0.592807
2.910,156.739,0.606349
2.920,155.756,0.658112
2.930,155.659,0.675022
2.940,156.224,0.612175
2.950,156.480,0.426375
2.960,782.935,0.739631
2.970,786.760,0.859342
2.980,793.713,0.796251
2.990,799.604,0.765195
3.000,805.413,0.669987
3.010,804.246,0.566880
3.020,795.175,0.302370
3.030,155.038,0.528772
3.040,155.406,0.560008
3.050,156.281,0.643483
3.060,156.234,0.680948
3.070,780.148,0.437169
3.080,786.463,0.461815
3.090,615.094,0.245771
3.100,619.503,0.550510
3.110,622.208,0.603135
3.120,623.742,0.667065
3.130,624.607,0.692232
3.140,626.101,0.597136
3.150,624.471,0.400094
3.160,798.818,0.220795
3.170,792.610,0.383345
3.180,792.940,0.377509
3.190,201.631,0.232193
3.200,156.738,0.278449
3.210,622.518,0.221821
3.220,616.923,0.339194
3.230,155.707,0.312064
3.240,155.120,0.639813
3.250,154.536,0.741712
3.260,154.523,0.837662
3.270,155.054,0.788913
3.280,156.426,0.767093
3.290,156.512,0.810324
3.300,156.115,0.810640
3.310,155.775,0.784039
3.320,154.400,0.666022
3.330,152.991,0.119843
3.340,154.494,0.546266
3.350,154.333,0.774847
3.360,154.284,0.852719
3.370,154.610,0.820868
3.380,156.671,0.710351
3.390,156.679,0.508728
3.400,156.209,0.265079
3.410,38.625,0.610800
3.420,38.824,0.369057
3.430,155.595,0.367926
3.440,154.768,0.498040
3.450,310.297,0.507411
3.460,154.350,0.610900
3.470,154.152,0.691937
3.480,154.749,0.735623
3.490,153.726,0.611217
3.500,153.080,0.465044
3.510,154.696,0.510013
3.520,310.325,0.578769
3.530,311.756,0.595065
3.540,312.793,0.318863
3.550,616.497,0.307756
3.560,611.015,0.374549
3.570,309.623,0.621099
3.580,313.034,0.540955
3.590,313.665,0.485397
3.600,312.167,0.494437
3.610,617.398,0.646468
3.620,310.064,0.727193
3.630,311.222,0.655589
3.640,311.976,0.650651
3.650,623.356,0.692389
3.660,310.544,0.675172
3.670,307.002,0.790463
3.680,305.643,0.849796
3.690,305.515,0.855715
3.700,306.864,0.566740
3.710,308.513,0.381523
3.720,306.803,0.596388
3.730,305.944,0.749301
3.740,305.465,0.692567
3.750,305.749,0.678091
3.760,309.315,0.527905
3.770,310.668,0.737819
3.780,310.851,0.737190
3.790,311.049,0.626957
3.800,155.243,0.458335
3.810,155.761,0.273622
3.820,310.700,0.247689
3.830,153.055,0.259120
3.840,151.324,0.412107
3.850,304.103,0.306345
3.860,305.871,0.335181
3.870,307.534,0.737242
3.880,308.155,0.764206
3.890,308.243,0.725417
3.900,308.704,0.675815
3.910,311.811,0.705643
3.920,311.636,0.617932
3.930,310.845,0.551228
3.940,153.468,0.534583
3.950,152.484,0.682037
3.960,152.811,0.623398
3.970,153.841,0.421490
3.980,153.617,0.237945
3.990,327.932,0.172693
4.000,319.801,0.244570
4.010,314.704,0.207469
4.020,310.719,0.381310
4.030,309.791,0.676006
4.040,309.531,0.546157
4.050,308.706,0.517476
4.060,309.613,0.511575
4.070,156.066,0.435688
4.080,314.154,0.568215
4.090,311.783,0.507324
4.100,310.554,0.641005
4.110,309.113,0.818771
4.120,310.554,0.833055
4.130,311.517,0.851966
4.140,311.685,0.805154
4.150,312.006,0.542289
4.160,312.488,0.243245
4.170,154.353,0.325933
4.180,307.853,0.157156
4.190,156.229,0.106345
4.200,699.404,0.152084
4.210,354.389,0.168590
4.220,618.200,0.171535
4.230,691.308,0.197463
4.240,317.195,0.289431
4.250,315.030,0.531210
4.260,314.417,0.267546
4.270,694.335,0.190148
4.280,699.166,0.661647
4.290,700.792,0.403473
4.300,703.471,0.613404
4.310,703.726,0.707575
4.320,705.158,0.349931
4.330,714.752,0.168145
4.340,346.792,0.296457
4.350,344.925,0.488212
4.360,349.580,0.495987
4.370,707.960,0.577293
